nodes	ancestor	time	species	diet	habitat	HI	dummy	habitat_diet	geography	body_size	body_size_log
133	46	1	Litocranius_walleri	Br	OH	1.32	0	BrOH	Africa	43	1.633468456
134	39	1	Kobus_leche	Gr	OH	3.63	0	GrOH	Africa	87	1.939519253
135	39	1	Kobus_ellipsiprymnus	Gr	OH	3.47	0	GrOH	Africa	205	2.311753861
136	69	1	Hippotragus_niger	Gr	MH	3.77	0	GrMH	Africa	225	2.352182518
137	69	1	Hippotragus_equinus	Gr	OH	4.28	0	GrOH	Africa	270	2.431363764
138	58	1	Hemitragus_jemlahicus_FJ207531	MF	OH	4.95	0	MFOH	CSAs	220	2.342422681
139	44	1	Eudorcas_rufifrons_2	MF	OH	3.77	0	MFOH	Africa	20	1.301029996
140	42	1	Dorcatragus_megalotis	MF	OH	2.93	0	MFOH	Africa	9	0.954242509
141	67	1	Damaliscus_pygargus_FJ207530	Gr	OH	4.76	0	GrOH	Africa	69	1.838849091
142	66	1	Connochaetes_taurinus_1	Gr	OH	4.94	0	GrOH	Africa	216	2.334453751
143	66	1	Connochaetes_gnou	Gr	OH	4.75	0	GrOH	Africa	136	2.133538908
144	42	1	Madoqua_kirkii	Br	OH	2.63	0	BrOH	Africa	4.5	0.653212514
145	53	1	Cephalophus_spadix	Br	CH	1.95	0	BrCH	Africa	57	1.755874856
146	53	1	Cephalophus_silvicultor	Br	MH	2.23	0	BrMH	Africa	61	1.785329835
147	54	1	Cephalophus_dorsalis	Br	CH	1.15	0	BrCH	Africa	20	1.301029996
148	58	1	Capra_ibex_FJ207526	MF	OH	4.71	0	MFOH	EAs	87	1.939519253
149	60	1	Budorcas_taxicolor_FJ207524	MF	OH	3.42	0	MFOH	EAs	250	2.397940009
150	29	1	Bubalus_depressicornis	Br	CH	4.43	0	BrCH	CSAs	150.5	2.1775365
151	29	1	Bubalus_bubalis_bubalis_AF547270	Gr	MH	3.85	0	GrMH	CSAs	1000	3
152	22	1	Boselaphus_tragocamelus	MF	MH	3.03	0	MFMH	CSAs	210	2.322219295
153	33	1	Bos_taurus_taurus_EU177832	Gr	OH	4.43	0	GrOH	EAs	355.8	2.551205944
154	31	1	Bos_javanicus_javanicus	Gr	OH	5.04	0	GrOH	CSAs	600	2.77815125
155	31	1	Bos_gaurus	Gr	MH	3.69	0	GrMH	CSAs	755	2.877946952
156	32	1	Bison_bison	Gr	OH	4.87	0	GrOH	NCAm	675	2.829303773
157	45	1	Antilope_cervicapra	MF	OH	5.14	0	MFOH	CSAs	37	1.568201724
158	46	1	Antidorcas_marsupialis	MF	OH	4.89	0	MFOH	Africa	31	1.491361694
159	62	1	Ammotragus_lervia_FJ207522	MF	OH	4.45	0	MFOH	Africa	86	1.934498451
160	67	1	Alcelaphus_buselaphus_buselaphus	Gr	OH	5.23	0	GrOH	Africa	136	2.133538908
161	37	1	Aepyceros_melampus	MF	OH	4.89	0	MFOH	Africa	53	1.72427587
162	70	1	Addax_nasomaculatus	MF	OH	4.09	0	MFOH	Africa	111	2.045322979
163	81	1	Antilocapra_americana	MF	OH	4.61	0	MFOH	NCAm	50	1.698970004
